Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,consent_page_0
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,consent_decision_0
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,demographics_page_0
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,demographics_submitted_0
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,instructions_page_0
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,index_page_1
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,start_charging_1
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,charging_page_1
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,disabled_charging_1
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,driving_page_1
Timestamp,Timestamp (ISO 8601),X,Y,Marker
timestamp,datetimestamp,x_axis,y_axis,index_page_1
1763121641.428148,2025-11-14T12:00:41.428147,138,1007,unknown,restart_game_0
1763121641.516822,2025-11-14T12:00:41.516822,196,969,unknown,restart_game_0
1763121641.646061,2025-11-14T12:00:41.646061,179,1066,unknown,restart_game_0
1763121641.657596,2025-11-14T12:00:41.657595,111,918,unknown,restart_game_0
1763121641.669083,2025-11-14T12:00:41.669082,136,960,unknown,restart_game_0
1763121641.678651,2025-11-14T12:00:41.678651,113,954,unknown,restart_game_0
1763121641.791083,2025-11-14T12:00:41.791083,21,842,unknown,restart_game_0
1763121641.800213,2025-11-14T12:00:41.800212,82,933,unknown,restart_game_0
1763121641.813403,2025-11-14T12:00:41.813403,79,970,unknown,restart_game_0
1763121641.825945,2025-11-14T12:00:41.825944,84,950,unknown,restart_game_0
1763121641.920237,2025-11-14T12:00:41.920237,145,980,unknown,restart_game_0
1763121642.046191,2025-11-14T12:00:42.046190,145,1051,unknown,restart_game_0
1763121642.058350,2025-11-14T12:00:42.058350,46,1024,unknown,restart_game_0
1763121642.068727,2025-11-14T12:00:42.068727,97,1017,unknown,restart_game_0
1763121642.080251,2025-11-14T12:00:42.080251,103,1001,unknown,restart_game_0
1763121642.191210,2025-11-14T12:00:42.191209,38,1080,unknown,restart_game_0
1763121642.202302,2025-11-14T12:00:42.202302,77,961,unknown,restart_game_0
1763121642.214779,2025-11-14T12:00:42.214778,129,1058,unknown,restart_game_0
1763121642.226349,2025-11-14T12:00:42.226348,128,1024,unknown,restart_game_0
1763121642.317708,2025-11-14T12:00:42.317708,,,unknown,restart_game_0
1763121642.330255,2025-11-14T12:00:42.330254,89,1008,unknown,restart_game_0
1763121642.341323,2025-11-14T12:00:42.341322,98,1072,unknown,restart_game_0
1763121642.353384,2025-11-14T12:00:42.353383,106,1071,unknown,restart_game_0
1763121642.449200,2025-11-14T12:00:42.449199,122,1080,unknown,restart_game_0
1763121642.462849,2025-11-14T12:00:42.462848,87,894,unknown,restart_game_0
1763121642.474367,2025-11-14T12:00:42.474367,110,930,unknown,restart_game_0
1763121642.485492,2025-11-14T12:00:42.485492,120,931,unknown,restart_game_0
1763121642.588679,2025-11-14T12:00:42.588678,126,1052,unknown,restart_game_0
1763121642.600189,2025-11-14T12:00:42.600188,20,962,unknown,restart_game_0
1763121642.611719,2025-11-14T12:00:42.611718,44,939,unknown,restart_game_0
1763121642.624276,2025-11-14T12:00:42.624276,35,948,unknown,restart_game_0
1763121642.719967,2025-11-14T12:00:42.719967,132,1080,unknown,restart_game_0
1763121642.731376,2025-11-14T12:00:42.731376,61,1020,unknown,restart_game_0
1763121642.741832,2025-11-14T12:00:42.741832,44,965,unknown,restart_game_0
1763121642.754400,2025-11-14T12:00:42.754399,47,960,unknown,restart_game_0
1763121642.846357,2025-11-14T12:00:42.846356,47,892,unknown,restart_game_0
1763121642.857889,2025-11-14T12:00:42.857889,86,823,unknown,restart_game_0
1763121642.870394,2025-11-14T12:00:42.870393,76,825,unknown,restart_game_0
1763121642.882224,2025-11-14T12:00:42.882223,75,835,unknown,restart_game_0
1763121642.990666,2025-11-14T12:00:42.990665,71,936,unknown,restart_game_0
1763121643.002186,2025-11-14T12:00:43.002185,35,869,unknown,restart_game_0
1763121643.013209,2025-11-14T12:00:43.013209,33,837,unknown,restart_game_0
1763121643.025298,2025-11-14T12:00:43.025298,44,851,unknown,restart_game_0
1763121643.117680,2025-11-14T12:00:43.117679,104,984,unknown,restart_game_0
1763121643.130232,2025-11-14T12:00:43.130232,7,918,unknown,restart_game_0
1763121643.142313,2025-11-14T12:00:43.142313,16,931,unknown,restart_game_0
1763121643.154827,2025-11-14T12:00:43.154827,13,932,unknown,restart_game_0
1763121643.246707,2025-11-14T12:00:43.246707,178,970,unknown,restart_game_0
1763121643.260252,2025-11-14T12:00:43.260251,83,857,unknown,restart_game_0
1763121643.273235,2025-11-14T12:00:43.273234,53,848,unknown,restart_game_0
1763121643.286508,2025-11-14T12:00:43.286508,46,845,unknown,restart_game_0
1763121643.390191,2025-11-14T12:00:43.390191,150,1000,unknown,restart_game_0
1763121643.402844,2025-11-14T12:00:43.402843,59,888,unknown,restart_game_0
1763121643.413864,2025-11-14T12:00:43.413864,63,906,unknown,restart_game_0
1763121643.426382,2025-11-14T12:00:43.426381,70,895,unknown,restart_game_0
1763121643.518758,2025-11-14T12:00:43.518757,96,917,unknown,restart_game_0
1763121643.531789,2025-11-14T12:00:43.531788,17,793,unknown,restart_game_0
1763121643.544301,2025-11-14T12:00:43.544300,34,795,unknown,restart_game_0
1763121643.555825,2025-11-14T12:00:43.555825,44,790,unknown,restart_game_0
1763121643.646299,2025-11-14T12:00:43.646299,0,838,unknown,restart_game_0
1763121643.657813,2025-11-14T12:00:43.657812,0,841,unknown,restart_game_0
1763121643.670825,2025-11-14T12:00:43.670824,0,851,unknown,restart_game_0
1763121643.682348,2025-11-14T12:00:43.682348,0,861,unknown,restart_game_0
1763121643.791629,2025-11-14T12:00:43.791628,0,784,unknown,restart_game_0
1763121643.804152,2025-11-14T12:00:43.804152,0,789,unknown,restart_game_0
1763121643.815173,2025-11-14T12:00:43.815173,0,792,unknown,restart_game_0
1763121643.827330,2025-11-14T12:00:43.827330,0,792,unknown,restart_game_0
1763121643.918048,2025-11-14T12:00:43.918048,0,794,unknown,restart_game_0
1763121643.931080,2025-11-14T12:00:43.931080,0,827,unknown,restart_game_0
1763121643.943630,2025-11-14T12:00:43.943630,0,835,unknown,restart_game_0
1763121643.956106,2025-11-14T12:00:43.956106,0,837,unknown,restart_game_0
1763121644.047409,2025-11-14T12:00:44.047409,0,835,unknown,restart_game_0
1763121644.057934,2025-11-14T12:00:44.057934,0,810,unknown,restart_game_0
1763121644.068461,2025-11-14T12:00:44.068461,9,847,unknown,restart_game_0
1763121644.081122,2025-11-14T12:00:44.081121,14,845,unknown,restart_game_0
1763121644.188899,2025-11-14T12:00:44.188899,23,912,unknown,restart_game_0
1763121644.200932,2025-11-14T12:00:44.200931,25,943,unknown,restart_game_0
1763121644.212992,2025-11-14T12:00:44.212992,54,958,unknown,restart_game_0
1763121644.223534,2025-11-14T12:00:44.223533,33,942,unknown,restart_game_0
1763121644.322783,2025-11-14T12:00:44.322782,29,877,unknown,restart_game_0
1763121644.333313,2025-11-14T12:00:44.333313,0,776,unknown,restart_game_0
1763121644.344826,2025-11-14T12:00:44.344825,0,813,unknown,restart_game_0
1763121644.356342,2025-11-14T12:00:44.356342,0,796,unknown,restart_game_0
1763121644.460018,2025-11-14T12:00:44.460018,55,847,unknown,restart_game_0
1763121644.469026,2025-11-14T12:00:44.469026,0,805,unknown,restart_game_0
1763121644.480256,2025-11-14T12:00:44.480256,8,785,unknown,restart_game_0
1763121644.490880,2025-11-14T12:00:44.490880,18,794,unknown,restart_game_0
1763121644.591071,2025-11-14T12:00:44.591070,266,1022,unknown,restart_game_0
1763121644.600071,2025-11-14T12:00:44.600070,62,892,unknown,restart_game_0
1763121644.611956,2025-11-14T12:00:44.611955,72,895,unknown,restart_game_0
1763121644.622974,2025-11-14T12:00:44.622974,75,883,unknown,restart_game_0
1763121644.716250,2025-11-14T12:00:44.716249,83,995,unknown,restart_game_0
1763121644.726755,2025-11-14T12:00:44.726754,30,1020,unknown,restart_game_0
1763121644.737264,2025-11-14T12:00:44.737263,8,992,unknown,restart_game_0
1763121644.748772,2025-11-14T12:00:44.748771,10,982,unknown,restart_game_0
1763121644.845435,2025-11-14T12:00:44.845435,106,1005,unknown,restart_game_0
1763121644.857965,2025-11-14T12:00:44.857964,8,938,unknown,restart_game_0
1763121644.868451,2025-11-14T12:00:44.868451,14,930,unknown,restart_game_0
1763121644.880468,2025-11-14T12:00:44.880467,31,934,unknown,restart_game_0
1763121644.989346,2025-11-14T12:00:44.989346,182,1002,unknown,restart_game_0
1763121645.002134,2025-11-14T12:00:45.002133,60,941,unknown,restart_game_0
1763121645.014143,2025-11-14T12:00:45.014143,91,999,unknown,restart_game_0
1763121645.025657,2025-11-14T12:00:45.025657,90,989,unknown,restart_game_0
1763121645.118701,2025-11-14T12:00:45.118701,0,906,unknown,restart_game_0
1763121645.129209,2025-11-14T12:00:45.129209,0,831,unknown,restart_game_0
1763121645.140221,2025-11-14T12:00:45.140220,0,830,unknown,restart_game_0
1763121645.151738,2025-11-14T12:00:45.151737,11,823,unknown,restart_game_0
1763121645.245994,2025-11-14T12:00:45.245993,142,1019,unknown,restart_game_0
1763121645.390277,2025-11-14T12:00:45.390277,91,986,unknown,restart_game_0
1763121645.400192,2025-11-14T12:00:45.400192,66,928,unknown,restart_game_0
1763121645.411715,2025-11-14T12:00:45.411714,62,906,unknown,restart_game_0
1763121645.422727,2025-11-14T12:00:45.422726,53,914,unknown,restart_game_0
1763121645.518686,2025-11-14T12:00:45.518685,57,953,unknown,restart_game_0
1763121645.530194,2025-11-14T12:00:45.530194,92,951,unknown,restart_game_0
1763121645.542436,2025-11-14T12:00:45.542436,97,950,unknown,restart_game_0
1763121645.553951,2025-11-14T12:00:45.553951,91,939,unknown,restart_game_0
1763121645.646288,2025-11-14T12:00:45.646287,78,985,unknown,restart_game_0
1763121645.657633,2025-11-14T12:00:45.657632,99,996,unknown,restart_game_0
1763121645.670148,2025-11-14T12:00:45.670147,86,970,unknown,restart_game_0
1763121645.682027,2025-11-14T12:00:45.682026,83,974,unknown,restart_game_0
1763121645.788319,2025-11-14T12:00:45.788318,61,771,unknown,restart_game_0
1763121645.798544,2025-11-14T12:00:45.798544,80,820,unknown,restart_game_0
1763121645.810056,2025-11-14T12:00:45.810055,108,838,unknown,restart_game_0
1763121645.822318,2025-11-14T12:00:45.822318,122,850,unknown,restart_game_0
1763121645.920128,2025-11-14T12:00:45.920128,77,729,unknown,restart_game_0
1763121645.932155,2025-11-14T12:00:45.932155,68,803,unknown,restart_game_0
1763121645.944289,2025-11-14T12:00:45.944289,57,814,unknown,restart_game_0
1763121645.955508,2025-11-14T12:00:45.955508,60,824,unknown,restart_game_0
1763121646.045648,2025-11-14T12:00:46.045647,0,869,unknown,restart_game_0
1763121646.058193,2025-11-14T12:00:46.058193,30,865,unknown,restart_game_0
1763121646.068720,2025-11-14T12:00:46.068719,77,925,unknown,restart_game_0
1763121646.080248,2025-11-14T12:00:46.080248,85,937,unknown,restart_game_0
1763121646.189253,2025-11-14T12:00:46.189253,49,878,unknown,restart_game_0
1763121646.201108,2025-11-14T12:00:46.201108,92,883,unknown,restart_game_0
1763121646.212198,2025-11-14T12:00:46.212198,120,937,unknown,restart_game_0
1763121646.224219,2025-11-14T12:00:46.224218,125,926,unknown,restart_game_0
1763121646.317457,2025-11-14T12:00:46.317456,,,unknown,restart_game_0
1763121646.328842,2025-11-14T12:00:46.328841,,,unknown,restart_game_0
1763121646.340354,2025-11-14T12:00:46.340354,,,unknown,restart_game_0
1763121646.352242,2025-11-14T12:00:46.352241,,,unknown,restart_game_0
1763121646.448037,2025-11-14T12:00:46.448037,,,unknown,restart_game_0
1763121646.458550,2025-11-14T12:00:46.458550,,,unknown,restart_game_0
1763121646.471588,2025-11-14T12:00:46.471587,,,unknown,restart_game_0
1763121646.484107,2025-11-14T12:00:46.484107,,,unknown,restart_game_0
1763121646.592195,2025-11-14T12:00:46.592195,168,1080,unknown,restart_game_0
1763121646.603738,2025-11-14T12:00:46.603737,254,1080,unknown,restart_game_0
1763121646.615778,2025-11-14T12:00:46.615778,213,1080,unknown,restart_game_0
1763121646.628330,2025-11-14T12:00:46.628329,229,1080,unknown,restart_game_0
1763121646.719099,2025-11-14T12:00:46.719098,182,1036,unknown,restart_game_0
1763121646.728386,2025-11-14T12:00:46.728385,179,1080,unknown,restart_game_0
1763121646.740428,2025-11-14T12:00:46.740428,192,1080,unknown,restart_game_0
1763121646.753959,2025-11-14T12:00:46.753959,191,1080,unknown,restart_game_0
1763121646.847235,2025-11-14T12:00:46.847235,180,1080,unknown,restart_game_0
1763121646.857752,2025-11-14T12:00:46.857751,195,1080,unknown,restart_game_0
1763121646.870770,2025-11-14T12:00:46.870770,194,1080,unknown,restart_game_0
1763121646.882307,2025-11-14T12:00:46.882307,194,1080,unknown,restart_game_0
1763121646.994928,2025-11-14T12:00:46.994928,192,1080,unknown,restart_game_0
1763121647.120891,2025-11-14T12:00:47.120891,218,1080,unknown,restart_game_0
1763121647.130403,2025-11-14T12:00:47.130402,203,1080,unknown,restart_game_0
1763121647.141969,2025-11-14T12:00:47.141969,206,1080,unknown,restart_game_0
1763121647.151479,2025-11-14T12:00:47.151478,204,1080,unknown,restart_game_0
1763121647.253525,2025-11-14T12:00:47.253524,,,unknown,restart_game_0
1763121647.266040,2025-11-14T12:00:47.266040,158,1080,unknown,restart_game_0
1763121647.279216,2025-11-14T12:00:47.279215,163,1080,unknown,restart_game_0
1763121647.293917,2025-11-14T12:00:47.293917,157,1080,unknown,restart_game_0
1763121647.391842,2025-11-14T12:00:47.391841,,,unknown,restart_game_0
1763121647.404364,2025-11-14T12:00:47.404364,179,1057,unknown,restart_game_0
1763121647.416387,2025-11-14T12:00:47.416386,170,1051,unknown,restart_game_0
1763121647.428514,2025-11-14T12:00:47.428514,164,1044,unknown,restart_game_0
1763121647.525540,2025-11-14T12:00:47.525540,,,unknown,restart_game_0
1763121647.540557,2025-11-14T12:00:47.540556,132,1055,unknown,restart_game_0
1763121647.553080,2025-11-14T12:00:47.553080,168,1080,unknown,restart_game_0
1763121647.567141,2025-11-14T12:00:47.567141,169,1080,unknown,restart_game_0
1763121647.616098,2025-11-14T12:00:47.616098,49,1030,unknown,restart_game_0
1763121647.628609,2025-11-14T12:00:47.628609,62,1070,unknown,restart_game_0
1763121647.640622,2025-11-14T12:00:47.640622,95,1075,unknown,restart_game_0
1763121647.712060,2025-11-14T12:00:47.712060,39,957,unknown,restart_game_0
1763121647.725080,2025-11-14T12:00:47.725080,73,1053,unknown,restart_game_0
1763121647.738594,2025-11-14T12:00:47.738594,54,1080,unknown,restart_game_0
1763121647.823906,2025-11-14T12:00:47.823906,77,1005,unknown,restart_game_0
1763121647.836423,2025-11-14T12:00:47.836422,137,1080,unknown,restart_game_0
1763121647.849940,2025-11-14T12:00:47.849940,122,1080,unknown,restart_game_0
1763121647.921050,2025-11-14T12:00:47.921050,97,972,unknown,restart_game_0
1763121647.933563,2025-11-14T12:00:47.933562,54,994,unknown,restart_game_0
1763121647.948073,2025-11-14T12:00:47.948072,56,1038,unknown,restart_game_0
1763121648.016867,2025-11-14T12:00:48.016866,102,975,unknown,restart_game_0
1763121648.029905,2025-11-14T12:00:48.029905,62,1027,unknown,restart_game_0
1763121648.044437,2025-11-14T12:00:48.044437,99,1007,unknown,restart_game_0
1763121648.115670,2025-11-14T12:00:48.115669,97,1075,unknown,restart_game_0
1763121648.125292,2025-11-14T12:00:48.125291,115,1061,unknown,restart_game_0
1763121648.138485,2025-11-14T12:00:48.138484,143,1080,unknown,restart_game_0
1763121648.223982,2025-11-14T12:00:48.223981,51,1080,unknown,restart_game_0
1763121648.235515,2025-11-14T12:00:48.235514,66,1080,unknown,restart_game_0
1763121648.248045,2025-11-14T12:00:48.248045,65,1080,unknown,restart_game_0
1763121648.321756,2025-11-14T12:00:48.321756,58,1079,unknown,restart_game_0
1763121648.336275,2025-11-14T12:00:48.336275,39,1012,unknown,restart_game_0
1763121648.348464,2025-11-14T12:00:48.348464,0,1011,unknown,restart_game_0
1763121648.417366,2025-11-14T12:00:48.417365,22,784,unknown,restart_game_0
1763121648.430379,2025-11-14T12:00:48.430379,33,879,unknown,restart_game_0
1763121648.443934,2025-11-14T12:00:48.443933,22,890,unknown,restart_game_0
1763121648.514043,2025-11-14T12:00:48.514043,54,814,unknown,restart_game_0
1763121648.528117,2025-11-14T12:00:48.528117,94,862,unknown,restart_game_0
1763121648.540178,2025-11-14T12:00:48.540177,82,835,unknown,restart_game_0
1763121648.626160,2025-11-14T12:00:48.626160,111,914,unknown,restart_game_0
1763121648.638617,2025-11-14T12:00:48.638616,51,878,unknown,restart_game_0
1763121648.650126,2025-11-14T12:00:48.650125,14,855,unknown,restart_game_0
1763121648.722995,2025-11-14T12:00:48.722995,198,878,unknown,restart_game_0
1763121648.736525,2025-11-14T12:00:48.736524,15,868,unknown,restart_game_0
1763121648.748061,2025-11-14T12:00:48.748061,38,872,unknown,restart_game_0
1763121648.820186,2025-11-14T12:00:48.820185,173,972,unknown,restart_game_0
1763121648.835216,2025-11-14T12:00:48.835215,21,897,unknown,restart_game_0
1763121648.848727,2025-11-14T12:00:48.848727,0,879,unknown,restart_game_0
1763121648.914530,2025-11-14T12:00:48.914530,63,813,unknown,restart_game_0
1763121648.927554,2025-11-14T12:00:48.927553,62,851,unknown,restart_game_0
1763121648.942582,2025-11-14T12:00:48.942582,32,796,unknown,restart_game_0
1763121649.024910,2025-11-14T12:00:49.024910,17,803,unknown,restart_game_0
1763121649.038959,2025-11-14T12:00:49.038958,0,838,unknown,restart_game_0
1763121649.054985,2025-11-14T12:00:49.054984,8,845,unknown,restart_game_0
1763121649.120473,2025-11-14T12:00:49.120473,83,764,unknown,restart_game_0
1763121649.135992,2025-11-14T12:00:49.135992,107,836,unknown,restart_game_0
1763121649.150701,2025-11-14T12:00:49.150700,82,859,unknown,restart_game_0
1763121649.218992,2025-11-14T12:00:49.218991,41,1080,unknown,restart_game_0
1763121649.233903,2025-11-14T12:00:49.233902,,,unknown,restart_game_0
1763121649.246422,2025-11-14T12:00:49.246421,,,unknown,restart_game_0
1763121649.315018,2025-11-14T12:00:49.315017,,,unknown,restart_game_0
1763121649.330047,2025-11-14T12:00:49.330047,,,unknown,restart_game_0
1763121649.343735,2025-11-14T12:00:49.343735,,,unknown,restart_game_0
1763121649.428069,2025-11-14T12:00:49.428069,,,unknown,restart_game_0
1763121649.440283,2025-11-14T12:00:49.440283,,,unknown,restart_game_0
1763121649.454243,2025-11-14T12:00:49.454243,,,unknown,restart_game_0
1763121649.523278,2025-11-14T12:00:49.523278,,,unknown,restart_game_0
1763121649.537307,2025-11-14T12:00:49.537307,,,unknown,restart_game_0
1763121649.550886,2025-11-14T12:00:49.550886,,,unknown,restart_game_0
1763121649.618017,2025-11-14T12:00:49.618017,,,unknown,restart_game_0
1763121649.631037,2025-11-14T12:00:49.631037,,,unknown,restart_game_0
1763121649.645559,2025-11-14T12:00:49.645559,,,unknown,restart_game_0
1763121649.712382,2025-11-14T12:00:49.712382,,,unknown,restart_game_0
1763121649.725400,2025-11-14T12:00:49.725400,,,unknown,restart_game_0
1763121649.738909,2025-11-14T12:00:49.738909,,,unknown,restart_game_0
1763121649.823628,2025-11-14T12:00:49.823628,,,unknown,restart_game_0
1763121649.836159,2025-11-14T12:00:49.836158,,,unknown,restart_game_0
1763121649.848158,2025-11-14T12:00:49.848157,,,unknown,restart_game_0
1763121649.918672,2025-11-14T12:00:49.918671,44,637,unknown,restart_game_0
1763121649.932241,2025-11-14T12:00:49.932240,18,542,unknown,restart_game_0
1763121649.946677,2025-11-14T12:00:49.946677,0,541,unknown,restart_game_0
1763121650.017365,2025-11-14T12:00:50.017365,82,630,unknown,restart_game_0
1763121650.030221,2025-11-14T12:00:50.030220,0,663,unknown,restart_game_0
1763121650.044106,2025-11-14T12:00:50.044106,37,673,unknown,restart_game_0
1763121650.114026,2025-11-14T12:00:50.114026,0,683,unknown,restart_game_0
1763121650.126097,2025-11-14T12:00:50.126097,0,505,unknown,restart_game_0
1763121650.139219,2025-11-14T12:00:50.139219,0,485,unknown,restart_game_0
1763121650.225967,2025-11-14T12:00:50.225967,52,701,unknown,restart_game_0
1763121650.238460,2025-11-14T12:00:50.238459,0,657,unknown,restart_game_0
1763121650.252992,2025-11-14T12:00:50.252992,0,648,unknown,restart_game_0
1763121650.322140,2025-11-14T12:00:50.322140,91,850,unknown,restart_game_0
1763121650.335199,2025-11-14T12:00:50.335199,85,690,unknown,restart_game_0
1763121650.347698,2025-11-14T12:00:50.347697,62,700,unknown,restart_game_0
1763121650.416131,2025-11-14T12:00:50.416130,121,951,unknown,restart_game_0
1763121650.430159,2025-11-14T12:00:50.430159,13,624,unknown,restart_game_0
1763121650.444184,2025-11-14T12:00:50.444183,5,693,unknown,restart_game_0
1763121650.516323,2025-11-14T12:00:50.516323,172,769,unknown,restart_game_0
1763121650.527406,2025-11-14T12:00:50.527406,141,760,unknown,restart_game_0
1763121650.541063,2025-11-14T12:00:50.541063,115,767,unknown,restart_game_0
1763121650.628409,2025-11-14T12:00:50.628409,92,729,unknown,restart_game_0
1763121650.638972,2025-11-14T12:00:50.638971,88,691,unknown,restart_game_0
1763121650.652042,2025-11-14T12:00:50.652041,71,697,unknown,restart_game_0
1763121650.719910,2025-11-14T12:00:50.719910,6,644,unknown,restart_game_0
1763121650.732487,2025-11-14T12:00:50.732487,49,613,unknown,restart_game_0
1763121650.744998,2025-11-14T12:00:50.744998,38,586,unknown,restart_game_0
1763121650.821299,2025-11-14T12:00:50.821299,109,683,unknown,restart_game_0
1763121650.834836,2025-11-14T12:00:50.834836,27,566,unknown,restart_game_0
1763121650.847338,2025-11-14T12:00:50.847338,24,584,unknown,restart_game_0
1763121650.914060,2025-11-14T12:00:50.914059,119,755,unknown,restart_game_0
1763121650.925356,2025-11-14T12:00:50.925356,66,700,unknown,restart_game_0
1763121650.938764,2025-11-14T12:00:50.938764,19,604,unknown,restart_game_0
1763121651.027379,2025-11-14T12:00:51.027379,,,unknown,restart_game_0
1763121651.037103,2025-11-14T12:00:51.037103,,,unknown,restart_game_0
1763121651.049221,2025-11-14T12:00:51.049220,,,unknown,restart_game_0
1763121651.121176,2025-11-14T12:00:51.121176,,,unknown,restart_game_0
1763121651.132675,2025-11-14T12:00:51.132674,,,unknown,restart_game_0
1763121651.146192,2025-11-14T12:00:51.146192,,,unknown,restart_game_0
1763121651.218079,2025-11-14T12:00:51.218078,,,unknown,restart_game_0
1763121651.231113,2025-11-14T12:00:51.231113,,,unknown,restart_game_0
1763121651.244850,2025-11-14T12:00:51.244850,,,unknown,restart_game_0
1763121651.313553,2025-11-14T12:00:51.313553,,,unknown,restart_game_0
1763121651.327509,2025-11-14T12:00:51.327509,,,unknown,restart_game_0
1763121651.340620,2025-11-14T12:00:51.340619,,,unknown,restart_game_0
1763121651.426600,2025-11-14T12:00:51.426599,,,unknown,restart_game_0
1763121651.438231,2025-11-14T12:00:51.438230,,,unknown,restart_game_0
1763121651.451139,2025-11-14T12:00:51.451138,,,unknown,restart_game_0
1763121651.521360,2025-11-14T12:00:51.521359,,,unknown,restart_game_0
1763121651.536189,2025-11-14T12:00:51.536188,,,unknown,restart_game_0
1763121651.548599,2025-11-14T12:00:51.548598,,,unknown,restart_game_0
1763121651.617145,2025-11-14T12:00:51.617144,276,594,unknown,restart_game_0
1763121651.631795,2025-11-14T12:00:51.631795,143,582,unknown,restart_game_0
1763121651.645463,2025-11-14T12:00:51.645463,310,584,unknown,restart_game_0
1763121651.712204,2025-11-14T12:00:51.712204,190,489,unknown,restart_game_0
1763121651.723485,2025-11-14T12:00:51.723484,265,602,unknown,restart_game_0
1763121651.738101,2025-11-14T12:00:51.738101,334,596,unknown,restart_game_0
1763121651.825742,2025-11-14T12:00:51.825742,259,559,unknown,restart_game_0
1763121651.840251,2025-11-14T12:00:51.840251,139,672,unknown,restart_game_0
1763121651.850264,2025-11-14T12:00:51.850263,186,659,unknown,restart_game_0
1763121651.921290,2025-11-14T12:00:51.921290,204,671,unknown,restart_game_0
1763121651.934805,2025-11-14T12:00:51.934804,86,741,unknown,restart_game_0
1763121651.948344,2025-11-14T12:00:51.948343,67,710,unknown,restart_game_0
1763121652.019071,2025-11-14T12:00:52.019071,183,726,unknown,restart_game_0
